,INTERACTOR_A,INTERACTOR_B
370,RIF1,TERF2IP
371,ATXN1,SLC6A13
372,PPP1CC,RIF1
373,PPP1CC,TNS1
374,MYC,RIF1
375,VCAM1,PLEC
376,FN1,PLEC
377,FN1,AHNAK
378,FN1,HSPG2
379,HSP90AA1,ROR2
380,ROR2,HSP90AA1
381,CSNK2A1,BCLAF1
382,CSNK2A1,MSH6
383,BRAF,PHKB
384,ATF2,AHNAK
385,IQCB1,FYCO1
386,NOS2,PLEC
387,SMAD9,PLEC
388,MAP1LC3A,FYCO1
389,ITGA4,PLEC
390,SPTBN1,ANK1
391,TGFBR1,ANK1
392,gag-pol,POLE
393,MED19,MED13
394,MED26,MED13
395,CBX8,BCLAF1
396,MSH2,MSH6
397,EMD,BCLAF1
398,BCLAF1,EMD
399,BCLAF1,EMD
400,EMD,BCLAF1
401,MSH6,PCNA
402,MMS19,POLE
403,PHB,PLEC
404,CDK5RAP2,PCNT
405,CDK5RAP2,AKAP9
406,MED19,MED13
407,MED13,MED1
408,MED13,MED26
409,MED13,MED19
410,MED13,MED7
411,PAN2,PLEC
412,PAN2,BCLAF1
413,FYCO1,KDM1A
414,FYCO1,PRMT6
415,LMNA,RIF1
416,HDAC11,BCLAF1
417,HDAC11,MSH6
418,HDAC11,RIF1
419,ANK1,CD44
420,BAG3,BCLAF1
421,BAG3,PLEC
422,ATP4A,AHNAK
423,CDK5RAP2,TSNAX
424,CDK5RAP2,TRIM37
425,CDK5RAP2,PCBD1
426,CDK5RAP2,MAPRE1
427,CDK5RAP2,FBXO25
428,MMP14,RRAD
429,MMP14,PLLP
430,RIF1,SMARCD1
431,POT1,RIF1
432,CDK8,MED13
433,CDK19,MED13
434,CLK3,BCLAF1
435,SRPK2,BCLAF1
436,SRPK1,BCLAF1
437,CLK2,BCLAF1
438,FBXO6,HSPG2
439,TARDBP,BCLAF1
440,TARDBP,AHNAK
441,FYCO1,KDM1A
442,FYCO1,PRMT6
443,PIN1,BCLAF1
444,BAG2,AHNAK
445,PLEC,GBF1
446,ATP6V1B2,MSH6
447,GANAB,MSH6
448,HYOU1,MSH6
449,XRCC6,MSH6
450,PLEC,NCAPH
451,CDK9,PLEC
452,CCAR2,PLEC
453,NCAPG,PLEC
454,RABEP1,PLEC
455,SMC2,PLEC
456,SMC4,PLEC
457,AHNAK2,PSMD14
458,MSH6,SAMHD1
459,MSH6,SUPT5H
460,RPA1,AHNAK
461,RPA2,AHNAK
462,RPA3,AHNAK
463,ASB3,BCLAF1
464,ASB18,BCLAF1
465,ZBTB1,BCLAF1
466,POLK,MSH6
467,PRKACA,CDK5RAP2
468,PRKACB,CDK5RAP2
469,DCP2,PHKB
470,XIRP1,NEB
471,XIRP1,NEBL
472,NEBL,XIRP1
473,NEB,XIRP1
474,NEBL,XIRP1
475,NEBL,XIRP1
476,XIRP1,FLNC
477,XIRP1,ACTA1
478,FLNC,XIRP1
479,FLNC,XIRP1
480,XIRP1,VASP
481,XIRP1,ENAH
482,XIRP1,EVL
483,VASP,XIRP1
484,XIRP1,VASP
485,FAM96A,POLE
486,FAM96B,POLE
487,CIAO1,POLE
488,AURKB,PHKB
489,TP53,PHKB
490,KLHL40,AHNAK
491,SART3,BCLAF1
492,PCNA,MSH6
493,PCNA,POLE
494,RAF1,FYCO1
495,RAPGEF2,PLEC
496,SPTA1,ANK1
497,CAMK2B,PHKB
498,CRX,ROR2
499,CRX,SZT2
500,DAB1,ROR2
501,MMP14,CCDC155
502,ROR2,ROR2
