,INTERACTOR_A,INTERACTOR_B
569,SBF1,RPAP3
570,SBF1,SUPT16H
571,SBF1,WDR55
572,SBF2,SBF1
573,SBF2,SBF1
574,SBF1,SBF1
575,SBF1,MTMR1
576,SBF1,MTMR2
577,SBF1,UQCC1
578,SBF1,UQCC2
579,SBF1,RAB35
580,SBF1,IFT27
581,SBF1,CTTNBP2NL
582,SBF1,STIP1
583,SBF1,IFT52
584,SBF1,MRPS16
585,SBF1,PTGES3L
586,TLE3,MYH4
587,TINAGL1,HSPG2
588,HIF1A,MYH4
589,CCDC53,NAV1
590,PCK2,PCK1
591,PCK2,MUC5B
592,IFT57,IFT172
593,FBXL4,HEPHL1
594,PCK2,BPIFB1
595,DDX19B,PPL
596,FCF1,PPL
597,RAB6B,SBF1
598,COG6,NAV1
599,DTNBP1,NAV1
600,POMK,LRP5
601,XAGE1B,FAT4
602,IL31RA,HEPHL1
603,TTC30A,IFT172
604,CDK15,PPL
605,TBC1D22B,PPL
606,SIRT6,FAT4
607,TMEM260,MYH4
608,AURKC,MYH4
609,SIX1,MYH4
610,ZNF408,HSPG2
611,MRPL38,HEPHL1
612,PCK2,DMBT1
613,KIF3A,HEPHL1
614,PCK2,BPIFA1
615,SGOL2,HEPHL1
616,C2orf48,FAT4
617,ETV6,LRP5
618,NPPA,OBSCN
619,TTC30B,IFT172
620,SOST,LRP5
621,NSMAF,HEPHL1
622,PARP16,LRP5
623,LYPD4,OBSCN
624,PCK2,IGHA2
625,CLU,FAT4
626,ZSCAN20,PPL
627,SYT3,MYH4
628,AKAP17A,MYH4
629,DKKL1,FAT4
630,RPL28,FAT4
631,COASY,HEPHL1
632,RAB11B,HEPHL1
633,HAVCR2,SBF1
634,OAZ3,HEPHL1
635,FRMD1,PPL
636,DCDC2B,FAT4
637,CORO1A,IFT172
638,PSG8,FAT4
639,PRSS37,LRP5
640,PCDHGB1,FAT4
641,CSNK1A1,LRP5
642,XCL1,FAT4
643,TGIF2LY,LRP5
644,PYHIN1,HEPHL1
645,CDCA8,MYH4
646,RCC1,NAV1
647,SSSCA1,SBF1
648,PPIAL4G,FAT4
649,FASN,PTGR2
650,RBM24,PPL
651,MANSC1,SBF1
652,RPN2,HEPHL1
653,HENMT1,SBF1
654,PCK2,ZMYM2
655,NXPH2,FAT4
656,TEX35,HEPHL1
657,ZMAT4,HEPHL1
658,DOLPP1,HEPHL1
659,TFG,HEPHL1
660,OR51E2,HEPHL1
661,ZBBX,FAT4
662,GFOD1,SBF1
663,CCNYL1,PPL
664,EFNB2,SBF1
665,SKAP1,SBF1
666,PIP4K2A,SBF1
667,LRRC4C,SBF1
668,FGF8,IFT172
669,SEMG2,HEPHL1
670,DKKL1,LRP5
671,DNA2,FAT4
672,LIMS1,MYH4
673,TAZ,LRP5
674,PCK2,PIGR
675,SUSD4,LRP5
676,CDH5,SBF1
677,SUSD3,PPL
678,IFNE,FAT4
679,TBC1D14,HEPHL1
680,PCK2,AHNAK2
681,LZTS2,SBF1
682,SERPINA12,LRP5
683,LACC1,HEPHL1
684,PMM1,HEPHL1
685,PCK2,IGHA1
686,ST8SIA4,LRP5
687,DKK1,LRP5
688,SCGB1D1,LRP5
689,PCK2,ZMYM4
690,CEACAM21,FAT4
691,LIPH,LRP5
692,DDX39A,FAT4
693,CHST9,LRP5
694,DKK4,LRP5
695,MGAT4C,LRP5
696,VTI1B,HEPHL1
697,DNAJC7,IFT172
698,PCK2,ZG16B
699,CPLX3,HEPHL1
700,PDE4DIP,PPL
701,KRBA1,IFT172
702,UGT1A10,PPL
703,SETDB2,HEPHL1
704,FTH1,PPL
705,KIR3DS1,PPL
706,ACAD9,PPL
707,PDCD1,NAV1
708,GPBP1,HEPHL1
709,F9,LRP5
710,FAM3B,LRP5
711,RASD2,LRP5
712,C4orf26,LRP5
713,TNFRSF19,PPL
714,PCK2,PAG1
715,APIP,HEPHL1
716,PCK2,SUFU
717,PCK2,ALAS1
718,FCGRT,LRP5
719,B3GALT2,LRP5
720,PODN,LRP5
721,PCK2,AHNAK
722,PDGFB,FAT4
723,PCK2,LACRT
724,FASN,USP22
725,TGFBR2,SBF1
726,MAP3K14,NAV1
727,ADAM33,LRP5
728,PCK2,ZMYM3
729,C1orf186,SBF1
730,BRINP3,LRP5
731,LRRC4C,LRP5
732,PRSS37,FAT4
733,NDUFS6,PCK2
734,ISOC2,IFT172
735,SELE,SBF1
736,PCK2,RCOR3
737,PCK2,GAP43
738,CLPSL1,LRP5
739,NXPH2,LRP5
740,UBC,HSPG2
741,AATK,SBF1
742,IFT57,IFT172
743,IFT88,IFT172
744,IFT80,IFT172
745,IFT20,IFT172
746,PCK2,BBS2
747,CLUAP1,IFT172
748,TRAF3IP1,IFT172
749,IFT172,IFT74
750,TTC30A,IFT172
751,KCTD3,NAV1
752,KIF13B,NAV1
753,ZBTB21,NAV1
754,KSR1,NAV1
755,GIGYF1,NAV1
756,NAV1,CGN
757,LRFN1,NAV1
758,DENND1A,NAV1
759,RTKN,NAV1
760,SH3PXD2A,NAV1
761,MAST3,NAV1
762,SRGAP2,NAV1
763,EIF4E2,NAV1
764,SIPA1L1,NAV1
765,PPM1H,NAV1
766,LIMA1,NAV1
767,MAGI1,NAV1
768,DENND4C,NAV1
769,TESK2,NAV1
770,DCLK1,NAV1
771,ZNF638,NAV1
772,NF1,NAV1
773,HDAC4,NAV1
