,INTERACTOR_A,INTERACTOR_B
363,DLG4,GRIN2A
364,DLGAP1,GRIN2A
365,GRIN2B,DLG4
366,SYT13,NRXN1
367,NR3C1,HNRNPU
368,HNRNPU,NR3C1
369,CCNT1,PURA
370,ACTN2,GRIN2B
371,ACTN2,GRIN2B
372,STX1A,SLC6A1
373,LRRC7,CNKSR2
374,LRRC7,CNKSR2
375,ABL1,SPTAN1
376,ABL1,SPTAN1
377,SPTAN1,NEFL
378,AMPH,DNM1
379,RHOA,KCNA2
380,RHOA,KCNA2
381,RHOA,KCNA2
382,CNTNAP2,EPB41L3
383,GRIN2A,DLG4
384,PACSIN3,DNM1
385,PACSIN2,DNM1
386,PACSIN1,DNM1
387,PRPF40A,MECP2
388,SP1,PURA
389,CSTB,CTSH
390,CSTB,CTSB
391,SLC2A1,PTK2B
392,MAP3K10,DNM1
393,RGS5,GNAO1
394,RGS16,GNAO1
395,KCNB1,SNAP25
396,GPAA1,PIGT
397,CASK,SDC1
398,CASK,SDC2
399,CASK,EPB41
400,CAMK2A,GRIN2B
401,Eps15,DNM1
402,CSTB,CST3
403,SH3GL1,DNM1
404,KCNS3,KCNB1
405,THBS1,COL4A1
406,NRXN1,NLGN1
407,NRXN1,NLGN2
408,NRXN1,NLGN3
409,CASK,RPH3A
410,CASK,RPH3A
411,CLINT1,DNM1
412,CRHR1,GNAO1
413,FOXG1,FOXH1
414,TWIST2,MEF2C
415,RGS4,GNAO1
416,Ube2i,SLC2A1
417,MLLT4,NRXN1
418,USO1,GOSR2
419,USO1,GOSR2
420,GRIN1,GRIN2A
421,GRIN1,GRIN2B
422,GRIN1,GRIN3A
423,KCNQ1,KCNQ2
424,PIGH,PIGA
425,GNB2L1,GRIN2B
426,COL7A1,COL4A1
427,EPB41,DYNC1H1
428,CNTNAP4,CASK
429,CNTNAP2,CASK
430,RARS,QARS
431,RARS,QARS
432,MAG,COL4A1
433,AMPH,DNM1
434,PSAP,CTSD
435,TRPM7,PLCB1
436,SLC6A1,STX1A
437,SHANK3,SPTAN1
438,SPTAN1,SHANK1
439,SPTAN1,SHANK1
440,F11R,CASK
441,MYOD1,MEF2C
442,PIGQ,PIGA
443,PIGQ,PIGA
444,SYN2,SYN1
445,SYN2,SYN1
446,SYN1,SYN2
447,NOS1AP,SYN1
448,SYN1,NOS1AP
449,SYN1,NOS1
450,SNTA1,SCN1A
451,SNTA1,SCN1A
452,MEF2C,MYOG
453,MECP2,HMGB1
454,UBE2I,HDAC4
455,KCNA2,CTTN
456,KCNA2,CTTN
457,MECP2,SKI
458,SKI,MECP2
459,MECP2,NCOR1
460,NCOR1,MECP2
461,SKI,MECP2
462,MECP2,SKI
463,CABIN1,DNM1
464,MAPK7,MEF2C
465,MAPK7,MEF2C
466,KCNA2,KCNAB1
467,KCNA2,KCNAB2
468,KCNA2,PTPRA
469,KCNA2,PTPRA
470,GABARAP,GABRG2
471,AIMP2,QARS
472,HCN1,HCN1
473,HCN1,HCN2
474,HCN2,HCN1
475,HDAC4,MAPK3
476,HDAC4,MAPK1
477,MAPK3,HDAC4
478,MAPK1,HDAC4
479,GRB2,DNM1
480,GRB2,DNM1
481,DNM1,AMPH
482,DYRK1A,DNM1
483,GRB2,DNM1
484,SLC2A1,CANX
485,CALR,SLC2A1
486,DLG4,KCNA1
487,DLG4,KCNA2
488,DLG4,KCNA2
489,DLG4,KCNA1
490,GIPC1,SLC2A1
491,GIPC1,SLC2A1
492,CHRNA4,YWHAH
493,EPB41,SPTAN1
494,SPTAN1,SPTB
495,GRIA2,SPTAN1
496,SPTAN1,GRIA2
497,SPTAN1,GRIA2
498,UNC13B,STX1B
499,KCNQ2,CALM2
500,KCNQ2,CALM3
501,RGS5,GNAO1
502,GABRG2,DRD5
503,GABRG2,DRD5
504,SCARB2,THBS1
505,SPTAN1,EPB42
506,PURA,E2F1
507,E2F1,PURA
508,GTF2F1,HNRNPU
509,HNRNPU,GTF2F1
510,HNRNPU,POLR2A
511,HNRNPU,CDK7
512,NDN,HNRNPU
513,NDN,HNRNPU
514,HNRNPU,NDN
515,DNM1,DNM1
516,GRIN2A,SRC
517,GRIN2A,FYN
518,GRIN2A,SRC
519,GRIN2A,FYN
520,GRIN2B,FYN
521,AMPH,DNM1
522,GABRA1,PRKCG
523,GABRA1,PRKCD
524,GABRG2,GABARAP
525,GABRG2,GABARAP
526,GABRG2,GABARAP
527,SLC6A1,STX1A
528,SLC6A1,STX1A
529,XRCC1,PNKP
530,PNKP,XRCC1
531,PNKP,XRCC1
532,LIG3,PNKP
533,POLB,PNKP
534,PNKP,POLB
535,PNKP,LIG3
536,PNKP,LIG3
537,PNKP,POLB
538,PLEC,SPTAN1
539,VIM,SPTAN1
540,SPTAN1,LMNB1
541,SPTAN1,ACTA1
542,SPTAN1,VIM
543,SPTAN1,PLEC
544,SPTAN1,MSN
545,APBA1,CASK
546,TBR1,CASK
547,CASK,TBR1
548,CASK,DLG1
549,DLG1,CASK
550,DLG1,CASK
551,DLG1,CASK
552,ARHGEF9,GPHN
553,DLG4,GRIN2A
554,DLG3,GRIN2B
555,DLG3,GRIN2A
556,DLG4,GRIN2A
557,DLG4,GRIN2B
558,DLG3,GRIN2A
559,DLG3,GRIN2B
560,LIN7B,GRIN2B
561,GRIN2B,LIN7A
562,GRIN2B,LIN7B
563,GRIN2A,PTK2B
564,SYN1,NCF1
565,SYN1,BIN1
566,SYN1,AMPH
567,SYN1,SRC
568,SYN1,PIK3R1
569,SYN1,CRK
570,RIC8A,GNAO1
571,RIC8A,GNAO1
572,GNAO1,OPRM1
573,GNAO1,OPRD1
574,CDC5L,DYNC1H1
575,CDC5L,DYNC1H1
576,HGS,CASK
577,HGS,STXBP1
578,GNAO1,RGS20
579,RGS20,GNAO1
580,ARHGEF9,SMURF1
581,SMURF1,ARHGEF9
582,ARHGEF9,SMURF1
583,GRIN2A,Dlgap2
584,GRIN2B,Dlgap2
585,GRIN2B,DLG4
586,GRIN2B,DLG4
587,GRIN2B,MIB2
588,GRIN2B,MIB2
589,NHLRC1,AGL
590,MECP2,SIN3A
591,SIN3A,MECP2
592,MECP2,SIN3A
593,MECP2,SIN3A
594,MECP2,GTF2B
595,MECP2,SIN3A
596,RCOR1,MECP2
597,MECP2,SUV39H1
598,MECP2,HIST2H3A
599,MECP2,DNMT1
600,MECP2,DNMT1
601,MECP2,HDAC1
602,HDAC1,MECP2
603,SIN3A,MECP2
604,MECP2,PRPF40A
605,MECP2,PRPF40B
606,MECP2,PRPF40A
607,MECP2,PRPF40B
608,MECP2,SPI1
609,SPI1,MECP2
610,HDAC1,MECP2
611,SP1,MECP2
612,MECP2,SIN3A
613,SMARCA2,MECP2
614,MECP2,SMARCA2
615,MECP2,SMARCE1
616,MECP2,SMARCA2
617,MECP2,SMARCB1
618,SPI1,MECP2
619,HDAC1,MECP2
620,RBPJ,MECP2
621,LBR,MECP2
622,MECP2,LBR
623,LBR,MECP2
624,LBR,MECP2
625,CBX5,MECP2
626,HDAC4,FOXP3
627,SPATA2,CASK
628,UIMC1,CASK
629,TNFAIP3,CNKSR2
630,GPN1,HNRNPU
631,CDK9,HNRNPU
632,RUVBL2,HNRNPU
633,TAF10,SPTAN1
634,HNRNPH1,HNRNPU
635,POLR2J,HNRNPU
636,HNRNPA1,PURA
637,CDK7,HNRNPU
638,MEPCE,PURA
639,UBASH3A,DNM1
640,LOC407840,MECP2
641,CDKL5,MECP2
642,CDKL5,MECP2
643,MECP2,YBX1
644,CDKL5,CDKL5
645,DVL3,PRICKLE1
646,PRICKLE1,DVL3
647,DNAJB6,HDAC4
648,DNAJB8,HDAC4
649,HDAC4,DNAJB8
650,HDAC4,DNAJB6
651,ATF2,HDAC4
652,HDAC4,ATF2
653,MORC2,HDAC4
654,RUNX2,HDAC4
655,HDAC4,RUNX2
656,HDAC4,SENP1
657,KDM5B,GRIN2B
658,EGFR,DYNC1H1
659,RUNX2,HDAC4
660,HDAC4,CDK5
661,HDAC4,PARK2
662,ATG2A,WDR45
663,CLN3,SLC25A22
664,WDR45,ATG2B
665,WDR45,ATG2A
666,HDAC4,NR1H2
667,HDAC4,NR1H2
668,SIN3A,HDAC4
669,EPM2A,NHLRC1
670,EPM2A,NHLRC1
671,NHLRC1,EPM2A
672,EPM2A,GSK3B
673,EPM2A,GSK3B
674,GSK3B,EPM2A
675,GYS1,NHLRC1
676,HIF1A,HDAC4
677,HDAC4,HIF1A
678,CAMK2D,HDAC4
679,HDAC4,CAMK2D
680,MEF2C,EPAS1
681,MAPK14,MEF2C
682,MEF2C,MAPK7
683,SOS1,SPTAN1
684,STAT1,SPTAN1
685,PLEKHA5,SPTAN1
686,MEF2C,SPTBN1
687,PLCB1,SPTBN1
688,MEF2C,YWHAZ
689,MEF2C,HDAC9
690,YWHAE,HDAC4
691,MEF2C,COPS5
692,PLEKHA5,ARHGEF9
693,MEF2D,HDAC4
694,ESR1,HDAC4
695,EPM2A,NHLRC1
696,NHLRC1,EPM2A
697,NHLRC1,EPM2A
698,EPM2A,NHLRC1
699,NHLRC1,EPM2A
700,CEBPA,ZEB2
701,HDAC4,YY1
702,YY1,HDAC4
703,HNRNPU,MYC
704,HNRNPU,MAX
705,MYC,HNRNPU
706,SIRT1,MEF2C
707,FOXG1,FOXH1
708,MEF2C,HDAC9
