,GENE,INTERACTORS
22,MYH4,"MYH4,TPM1,HIF1A,MYH4,MYH4,TMEM260,LDHD,MYH4,MYH4,RP13-297E16.1,MYH4,SYT3,MYH4,PP894,Kif13b,MYH4,CDCA8,MYH4,AURKC,MYH4,MYH4,NTHL1,ACTN2,MYH4,CNBP,MYH4,RP23-294E23.4,RP3-339A18.2,LIMS1,MYH4,MYH4,USP15,MYH4,TLE3,MYH4,WWOX,MCM2,MYH4,MYH4,SIX1"
23,HMCN1,"GS1-174L6.1,MCM2,DDX1,GS1-174L6.1,GS1-174L6.1,RAPGEF2,CLP1,GS1-174L6.1"
24,FASN,"FASN,MAPK3,CDK2,FASN,FASN,HAUS4,CARM1,FASN,CDH1,FASN,EED,FASN,FASN,FASN,CCT6B,FASN,FASN,RP11-2C24.4,FASN,ISG15,FASN,RP5-827C21.5,FASN,RP11-205M9.1,FASN,IMPDH1,FASN,TSG101,FASN,FOXL1,FASN,ZNF746,FASN,UNQ1845/PRO3573,FASN,FOXI1,FASN,SIRT7,FASN,RP11-723P2.1,FASN,XX-FW88778H2.1,FASN,HSD17B12,FASN,VCAM1,FASN,PTGR2,CUL3,FASN,FASN,FOXI2,ARRB1,FASN,FASN,RP11-57G10.3,COX15,FASN,FASN,GFPT2,FASN,RP1-109F14.4,AI837181,FASN,FASN,RP3-339A18.4,FASN,GFPT1,FASN,NOS2,FASN,RP23-440M18.7,CYP27A1,FASN,FASN,USP2,FASN,FUS,FASN,HSPC322,FASN,HSPC057,FASN,KIAA1598,AP2M1,FASN,AC002059.7,FASN,ABCC1,FASN,FASN,RP3-330O12.3,FASN,PRR12,FASN,RP11-739N20.5,FASN,IRF3,FASN,FN1,ASNS,FASN,FASN,RP5-1024G6.4,FASN,RP1-90K10.1,DNM1L,FASN,FASN,HSP90AA1,FASN,LGR4,CCT6A,FASN,FASN,HDAC5,FASN,MCM2,FASN,NPM1,FASN,TPM4,FASN,RP1-319D22.1,FASN,RP3-470L14.2,FASN,HSPA5,CCDC8,FASN,ARRB2,FASN,FASN,USP22,CRY2,FASN,FASN,tcag7.39,FASN,NTRK1,FASN,YAP1,FASN,SDHA,FASN,RP11-115D7.1,FASN,PTEN,FASN,YWHAQ,FASN,ILK,FASN,OBSL1,FASN,PC,FASN,PCK1,FASN,RP11-307C12.1,DCUN1D1,FASN,FASN,PTPN11,FASN,SMURF1,FASN,TP53BP1,FASN,KIF11,FASN,NDRG1,FASN,RP1-302G2.1,FASN,KIF3A,AKT1,FASN,FASN,RP24-313J18.2,EIF4A3,FASN,Bag2,FASN,CUL7,FASN,FASN,PP1845,CRY1,FASN,DLST,FASN,FASN,RAD21,DNAJC7,FASN,FASN,RP3-339A18.2,FASN,RP11-54H19.1,FASN,HIV1gp2,FASN,SNW1"
25,NAV1,"APP,NAV1,MAST3,NAV1,CEP89,NAV1,NAV1,ZNF638,KRT31,NAV1,NAV1,RP3-508I15.8,Cenpe,NAV1,NAV1,RP23-249G3.1,NAV1,SH3PXD2A,NAV1,RP5-1009E24.3,NAV1,SBBI03,EIF4E2,NAV1,NAV1,SYDE1,NAV1,TESK2,NAV1,RP11-90M2.2,AGAP1,NAV1,KSR1,NAV1,NAV1,RP11-269P11.1,NAV1,SIPA1L1,GCC1,NAV1,NAV1,NF1,MAP3K14,NAV1,NAV1,RTKN,NAV1,PPM1H,INPP5E,NAV1,NAV1,RP11-513M16.1,AD-016,NAV1,FGFR1OP,NAV1,NAV1,PP3360,NAV1,RP11-230L22.3,NAV1,RP11-113P14.1,NAV1,RP1-147M19.1,ELAVL1,NAV1,NAV1,RP11-312O7.2,NAV1,ZBTB21,HDAC4,NAV1,NAV1,RP11-304M3.3,NAV1,PDCD1,HSPC124,NAV1,NAV1,RP11-63L7.3,KIF13B,NAV1,NAV1,RP11-5F19.1,NAV1,RP4-669K10.2,NAV1,RP11-74C1.3,CEP135,NAV1,NAV1,PP624,NAV1,PCM1,CDC25C,NAV1,LRFN1,NAV1,NAV1,RP1-283E3.6,NAV1,RP1-148E22.1,MAPK1,NAV1,MAPRE1,NAV1,NAV1,RP11-367H5.1,FBXW11,NAV1,CEP128,NAV1,APC,NAV1,NAV1,RP11-88H12.2,NAV1,TRIO,GIGYF2,NAV1"
26,OBSCN,"RP5-1139B12.1,Smc3,BRCA1,RP5-1139B12.1,RP5-1139B12.1,Vps28,KCTD6,RP5-1139B12.1,NPPA,RP5-1139B12.1,RP23-29D15.3,RP5-1139B12.1,RP5-1139B12.1,RPA1,Actr1b,RP5-1139B12.1,HNRNPD,RP5-1139B12.1,NXF1,RP5-1139B12.1,RP5-1139B12.1,TTN,RP5-1139B12.1,UNQ2552/PRO6181,RP5-1139B12.1,VPS18,RP5-1139B12.1,Setd2,C10orf12,RP5-1139B12.1,HSF2,RP5-1139B12.1,RP5-1139B12.1,Z69720.1-002,CDCA5,RP5-1139B12.1,ANK1,RP5-1139B12.1,RP11-426L16.2,RP5-1139B12.1,PCNA,RP5-1139B12.1,KIAA1107,RP5-1139B12.1"
27,SBF1,"RP4-579N16.2"",SSSCA1,RP4-579N16.2"",SIRT7,Dmel_CG6502,RP4-579N16.2"",HSPB1,RP4-579N16.2"",RP23-133A3.2,RP4-579N16.2"",LL22NC01-132D12.2,RP4-579N16.2"",RAB35,RP4-579N16.2"",COL1A2,RP4-579N16.2"",RP4-579N16.2"",UNQ292/PRO331,RP11-86N24.2,RP4-579N16.2"",RP4-579N16.2"",SUV39H1,HAVCR2,RP4-579N16.2"",RAB6B,RP4-579N16.2"",RP4-579N16.2"",RP4-579N16.2"",CGI-132,RP4-579N16.2"",RP4-579N16.2"",STIP1,RP4-579N16.2"",UNQ316/PRO361,RP4-579N16.2"",TGFBR2,RP4-579N16.2"",RP4-614O4.7,RP4-579N16.2"",RP5-1028D15.4,RP4-579N16.2"",SKAP1,RP4-579N16.2"",hCG_1732268,PTGES3L,RP4-579N16.2"",INO80B,RP4-579N16.2"",PRKACA,RP4-579N16.2"",RP4-579N16.2"",SBF2,MTMR1,RP4-579N16.2"",CDH5,RP4-579N16.2"",PDPK1,RP4-579N16.2"",RP1-117P20.2,RP4-579N16.2"",RP11-6B20.2,RP4-579N16.2"",RP4-579N16.2"",SUPT16H,AATK,RP4-579N16.2"",RP4-579N16.2"",SIRT3,RP11-501I19.1,RP4-579N16.2"",CDKN1A,RP4-579N16.2"",RP11-256E16.2,RP4-579N16.2"",CALM1,Sbf1,RP4-579N16.2"",YHR119W,RP11-108L7.8,RP4-579N16.2"",C1orf186,RP4-579N16.2"",PMS1,RP4-579N16.2"",RP4-579N16.2"",RPAP3,RP4-579N16.2"",WDR55,MTMR2,RP4-579N16.2"",NTRK1,RP4-579N16.2"",CTTNBP2NL,RP4-579N16.2"",RP11-301N24.1,RP4-579N16.2"",RP11-272L14.1,RP4-579N16.2"",FBXW11,RP4-579N16.2"""
28,LYST,"HGS,LYST,CELF4,LYST,LYST,ZNF521,LYST,hCG_2016179,ATN1,LYST,LYST,Tnpo1,DAP3,LYST,LYST,TNNI3,DGCR14,LYST,LLGL2,LYST,LYST,PPIA,LYST,SAP30,KIF1C,LYST,LYST,YWHAZ,Ccdc9,LYST,LYST,RP1-148E22.1,KPNB1,LYST,Dync1li1,LYST,LYST,PCBP4,LYST,MLH1,EFS,LYST,LYST,RP11-756A22.2,LYST,MRPS31,HNRNPM,LYST,Cep85l,LYST,LYST,MYH13,LYST,MRPL17,ESRRA,LYST,LYST,RP23-26L6.8,LYST,NCDN,DADB-127H9.2,LYST,KLC3,LYST,HSPC228,LYST,LYST,PP1221,GAR1,LYST,LYST,TACC1,LYST,MED12,HNRNPH2,LYST,LYST,YWHAQ"
29,SNTG2,"DTNA,SNTG2,GS1-19O24.1,SNTG2,AD-015,SNTG2,DTNB,SNTG2,RP11-115J22.1,SNTG2,RNF31,SNTG2,SNTB2,SNTG2,RP11-352E13.1,SNTG2,RP11-145J3.1,SNTG2,BAI1,SNTG2,SNTB1,SNTG2,MPP3,SNTG2,SNTA1,SNTG2"
30,IFT172,"IFT172,TTC30B,ICK,IFT172,DNAJC7,IFT172,IFT172,LHX4,FGF8,IFT172,CLUAP1,IFT172,IFT172,IFT57,IFT172,RP5-1028D15.4,IFT172,NUDC,IFT172,KRBA1,IFT172,LCA5,IFT172,TTC26,IFT172,TSC22D4,IFT172,IFT74,IFT172,IFT22,IFT172,IFT20,CORO1A,IFT172,IFT172,IFT81,IFT172,LHX3,IFT172,PCM1,IFT172,RP11-172H24.2,IFT172,TTC30A,HSPC034,IFT172,IFT172,LL22NC01-132D12.2,IFT172,TRAF3IP1,IFT172,IFT46,IFT172,IFT80,IFT172,ISOC2"
31,HSPG2,"GAR1,RP11-132G19.2,NID2,RP11-132G19.2,RP11-132G19.2,UBC,Heatr2,RP11-132G19.2,RP11-132G19.2,Shoc2,RP11-132G19.2,RP3-330O12.3,PDGFA,RP11-132G19.2,JM1,RP11-132G19.2,MCM2,RP11-132G19.2,RP11-132G19.2,SKI,ATN1,RP11-132G19.2,RP11-132G19.2,RP11-415H23.1,FN1,RP11-132G19.2,RP11-132G19.2,RP11-520M5.1,PTTG1,RP11-132G19.2,FGFBP1,RP11-132G19.2,RP11-132G19.2,RP23-284C20.3,Pxdc1,RP11-132G19.2,CACNA1A,RP11-132G19.2,PP6614,RP11-132G19.2,PSAT1,RP11-132G19.2,LAMA1,RP11-132G19.2,RP11-132G19.2,TMPO,RP11-132G19.2,RP11-91B9.1,RP11-132G19.2,Vps28,FGF7,RP11-132G19.2,LL22NC03-10C3.2,RP11-132G19.2,RP11-132G19.2,ZNF408,GRB2,RP11-132G19.2,Id2,RP11-132G19.2,RP11-132G19.2,TTR,RP11-132G19.2,UNQ340/PRO539,FBLN2,RP11-132G19.2"
