,GENE,INTERACTORS
21,MYH4,"RP23-294E23.4,RP3-339A18.2,HIF1A,MYH4,ACTN2,MYH4,MYH4,SIX1,MYH4,PP894,MYH4,TLE3,MYH4,RP13-297E16.1,MYH4,WWOX,MCM2,MYH4,MYH4,SYT3,MYH4,NTHL1,Kif13b,MYH4,AURKC,MYH4,MYH4,USP15,MYH4,TMEM260,MYH4,TPM1,CNBP,MYH4,CDCA8,MYH4,LDHD,MYH4,LIMS1,MYH4"
22,HMCN1,"GS1-174L6.1,RAPGEF2,DDX1,GS1-174L6.1,CLP1,GS1-174L6.1,GS1-174L6.1,MCM2"
23,FASN,"FASN,HSD17B12,FASN,RP1-319D22.1,ARRB1,FASN,FASN,RP11-54H19.1,FASN,tcag7.39,FASN,PTGR2,CARM1,FASN,FASN,GFPT2,FASN,RP11-57G10.3,FASN,UNQ1845/PRO3573,FASN,FUS,FASN,SNW1,CDK2,FASN,FASN,KIF11,FASN,YAP1,Bag2,FASN,FASN,RAD21,COX15,FASN,FASN,RP11-739N20.5,CCT6B,FASN,FASN,IRF3,FASN,SIRT7,CCDC8,FASN,FASN,ISG15,FASN,RP1-302G2.1,FASN,PCK1,FASN,FOXI1,FASN,TSG101,CUL7,FASN,FASN,YWHAQ,FASN,NTRK1,FASN,RP11-307C12.1,FASN,MCM2,FASN,HAUS4,FASN,FOXL1,FASN,ZNF746,FASN,RP3-470L14.2,FASN,FASN,AKT1,FASN,CRY2,FASN,FASN,RP11-115D7.1,CCT6A,FASN,FASN,RP23-440M18.7,DNM1L,FASN,AI837181,FASN,FASN,HSPC322,EED,FASN,ASNS,FASN,AP2M1,FASN,CYP27A1,FASN,ABCC1,FASN,DCUN1D1,FASN,FASN,RP24-313J18.2,FASN,MAPK3,FASN,KIF3A,CUL3,FASN,FASN,ILK,FASN,NDRG1,FASN,HIV1gp2,FASN,XX-FW88778H2.1,FASN,IMPDH1,FASN,HSP90AA1,FASN,RP11-205M9.1,FASN,RP11-2C24.4,FASN,HSPC057,FASN,RP5-1024G6.4,FASN,RP3-339A18.2,FASN,RP3-339A18.4,FASN,FOXI2,FASN,KIAA1598,AC002059.7,FASN,EIF4A3,FASN,FASN,TPM4,FASN,USP22,FASN,RP1-90K10.1,FASN,NOS2,FASN,OBSL1,FASN,NPM1,FASN,PTEN,FASN,RP3-330O12.3,CDH1,FASN,FASN,RP1-109F14.4,FASN,PC,FASN,SMURF1,FASN,USP2,FASN,RP5-827C21.5,FASN,PRR12,FASN,TP53BP1,CRY1,FASN,ARRB2,FASN,DNAJC7,FASN,FASN,FN1,FASN,SDHA,FASN,PTPN11,FASN,LGR4,FASN,VCAM1,FASN,GFPT1,FASN,RP11-723P2.1,FASN,HSPA5,FASN,HDAC5,DLST,FASN,FASN,PP1845"
24,NAV1,"NAV1,RP11-113P14.1,KSR1,NAV1,ELAVL1,NAV1,APP,NAV1,NAV1,PP624,AGAP1,NAV1,KIF13B,NAV1,MAPK1,NAV1,NAV1,RP11-513M16.1,NAV1,RP3-508I15.8,NAV1,PCM1,NAV1,SBBI03,NAV1,RTKN,NAV1,PPM1H,NAV1,NF1,NAV1,RP11-304M3.3,NAV1,ZNF638,CEP89,NAV1,CDC25C,NAV1,NAV1,PP3360,NAV1,RP11-230L22.3,HSPC124,NAV1,NAV1,RP11-90M2.2,NAV1,RP4-669K10.2,NAV1,RP5-1009E24.3,NAV1,RP1-148E22.1,MAP3K14,NAV1,NAV1,RP11-74C1.3,GCC1,NAV1,Cenpe,NAV1,NAV1,RP11-5F19.1,NAV1,RP11-63L7.3,CEP135,NAV1,NAV1,SYDE1,INPP5E,NAV1,EIF4E2,NAV1,NAV1,TRIO,NAV1,RP11-312O7.2,FBXW11,NAV1,NAV1,SIPA1L1,HDAC4,NAV1,CEP128,NAV1,KRT31,NAV1,AD-016,NAV1,GIGYF2,NAV1,MAPRE1,NAV1,NAV1,RP11-269P11.1,NAV1,RP11-367H5.1,NAV1,RP1-147M19.1,LRFN1,NAV1,NAV1,PDCD1,FGFR1OP,NAV1,NAV1,RP23-249G3.1,NAV1,SH3PXD2A,NAV1,ZBTB21,MAST3,NAV1,NAV1,RP1-283E3.6,NAV1,TESK2,NAV1,RP11-88H12.2,APC,NAV1"
25,OBSCN,"HSF2,RP5-1139B12.1,RP5-1139B12.1,RPA1,HNRNPD,RP5-1139B12.1,RP5-1139B12.1,Vps28,RP5-1139B12.1,Smc3,KCTD6,RP5-1139B12.1,Actr1b,RP5-1139B12.1,RP5-1139B12.1,VPS18,RP5-1139B12.1,TTN,PCNA,RP5-1139B12.1,RP11-426L16.2,RP5-1139B12.1,RP5-1139B12.1,UNQ2552/PRO6181,NXF1,RP5-1139B12.1,RP5-1139B12.1,Z69720.1-002,C10orf12,RP5-1139B12.1,NPPA,RP5-1139B12.1,BRCA1,RP5-1139B12.1,ANK1,RP5-1139B12.1,RP5-1139B12.1,Setd2,KIAA1107,RP5-1139B12.1,RP23-29D15.3,RP5-1139B12.1,CDCA5,RP5-1139B12.1"
26,SBF1,"MTMR2,RP4-579N16.2"",C1orf186,RP4-579N16.2"",RP23-133A3.2,RP4-579N16.2"",RP4-579N16.2"",SIRT3,FBXW11,RP4-579N16.2"",RP4-579N16.2"",RP4-614O4.7,COL1A2,RP4-579N16.2"",RP4-579N16.2"",hCG_1732268,NTRK1,RP4-579N16.2"",AATK,RP4-579N16.2"",INO80B,RP4-579N16.2"",RP11-301N24.1,RP4-579N16.2"",RP4-579N16.2"",STIP1,RP11-86N24.2,RP4-579N16.2"",CDKN1A,RP4-579N16.2"",RP4-579N16.2"",SKAP1,RAB6B,RP4-579N16.2"",RP4-579N16.2"",YHR119W,RP1-117P20.2,RP4-579N16.2"",RP11-256E16.2,RP4-579N16.2"",MTMR1,RP4-579N16.2"",RP11-6B20.2,RP4-579N16.2"",RP4-579N16.2"",RP4-579N16.2"",CALM1,Sbf1,RP4-579N16.2"",WDR55,LL22NC01-132D12.2,RP4-579N16.2"",RP11-272L14.1,RP4-579N16.2"",PTGES3L,RP4-579N16.2"",RP4-579N16.2"",TGFBR2,RP4-579N16.2"",UNQ316/PRO361,RAB35,RP4-579N16.2"",CGI-132,RP4-579N16.2"",RP4-579N16.2"",SSSCA1,RP4-579N16.2"",RPAP3,RP11-108L7.8,RP4-579N16.2"",PMS1,RP4-579N16.2"",PRKACA,RP4-579N16.2"",RP4-579N16.2"",SUPT16H,RP4-579N16.2"",SUV39H1,HAVCR2,RP4-579N16.2"",RP4-579N16.2"",UNQ292/PRO331,PDPK1,RP4-579N16.2"",RP4-579N16.2"",SIRT7,CDH5,RP4-579N16.2"",RP4-579N16.2"",RP5-1028D15.4,RP4-579N16.2"",SBF2,CTTNBP2NL,RP4-579N16.2"",Dmel_CG6502,RP4-579N16.2"",RP11-501I19.1,RP4-579N16.2"",HSPB1,RP4-579N16.2"""
27,LYST,"LYST,RP23-26L6.8,LYST,Tnpo1,LYST,MLH1,LYST,TNNI3,LYST,MYH13,HSPC228,LYST,KLC3,LYST,LYST,hCG_2016179,DGCR14,LYST,LYST,NCDN,ATN1,LYST,LYST,RP1-148E22.1,LYST,PCBP4,LYST,YWHAZ,LYST,SAP30,KIF1C,LYST,LYST,ZNF521,Dync1li1,LYST,LYST,RP11-756A22.2,EFS,LYST,DAP3,LYST,Ccdc9,LYST,LYST,MRPL17,KPNB1,LYST,LYST,PP1221,ESRRA,LYST,LLGL2,LYST,LYST,PPIA,GAR1,LYST,LYST,MED12,LYST,YWHAQ,CELF4,LYST,HNRNPH2,LYST,LYST,TACC1,Cep85l,LYST,HGS,LYST,LYST,MRPS31,DADB-127H9.2,LYST,HNRNPM,LYST"
28,IFT172,"IFT172,RP11-172H24.2,IFT172,IFT20,IFT172,IFT81,IFT172,TRAF3IP1,IFT172,TTC30A,IFT172,IFT74,CLUAP1,IFT172,IFT172,IFT80,IFT172,LHX3,IFT172,TTC26,IFT172,RP5-1028D15.4,IFT172,LHX4,CORO1A,IFT172,IFT172,IFT57,IFT172,KRBA1,IFT172,LCA5,IFT172,LL22NC01-132D12.2,FGF8,IFT172,IFT172,IFT46,ICK,IFT172,HSPC034,IFT172,IFT172,PCM1,IFT172,TTC30B,IFT172,NUDC,DNAJC7,IFT172,IFT172,TSC22D4,IFT172,ISOC2,IFT172,IFT22"
29,HSPG2,"RP11-132G19.2,Vps28,RP11-132G19.2,Shoc2,FGF7,RP11-132G19.2,PP6614,RP11-132G19.2,NID2,RP11-132G19.2,RP11-132G19.2,RP11-415H23.1,RP11-132G19.2,RP11-520M5.1,RP11-132G19.2,TTR,CACNA1A,RP11-132G19.2,Pxdc1,RP11-132G19.2,RP11-132G19.2,UBC,MCM2,RP11-132G19.2,GAR1,RP11-132G19.2,Id2,RP11-132G19.2,RP11-132G19.2,RP11-91B9.1,RP11-132G19.2,ZNF408,RP11-132G19.2,UNQ340/PRO539,LAMA1,RP11-132G19.2,LL22NC03-10C3.2,RP11-132G19.2,FGFBP1,RP11-132G19.2,GRB2,RP11-132G19.2,Heatr2,RP11-132G19.2,RP11-132G19.2,TMPO,RP11-132G19.2,RP3-330O12.3,JM1,RP11-132G19.2,RP11-132G19.2,RP23-284C20.3,PTTG1,RP11-132G19.2,RP11-132G19.2,SKI,FBLN2,RP11-132G19.2,PSAT1,RP11-132G19.2,ATN1,RP11-132G19.2,FN1,RP11-132G19.2,PDGFA,RP11-132G19.2"
30,TTN,"MIG19,TTN,CALM1,TTN,NTRK1,TTN,ADAM2,TTN,RBM3,TTN,TTN,TUBA1A,CUL7,TTN,MAP2K1,TTN,TOP3A,TTN,DYRK2,TTN,RP11-535K18.1,TTN,RP1-134O19.1,TTN,PUF60,TTN,CPSF6,TTN,ASF1B,TTN,ARRB1,TTN,MYPN,TTN,CAPN3,TTN,NEDD8,TTN,CHEK1,TTN,TTN,WEE1,EGFR,TTN,MCM2,TTN,GIG20,TTN,FHL2,TTN,SRPK2,TTN,ANK1,TTN,MAPK1,TTN,CRYAB,TTN,CDH1,TTN,CUL4B,TTN,TOP2A,TTN,ANKRD23,TTN,Pparg,TTN,GAN,TTN,AC002059.7,TTN,COPS5,TTN,RP11-297A16.3,TTN,TTN,YWHAQ,ACTN1,TTN,CEP57,TTN,RP11-548K23.2,TTN,RP3-511B24.1,TTN,Cep135,TTN,CDK2,TTN,HSPB2,TTN,SRSF2,TTN,RAPGEF2,TTN,MYBPC3,TTN,TCAP,TTN,ANKRD1,TTN,TRIM55,TTN,TRIM63,TTN,TTN,VAV2,RP11-537A6.8,TTN,TSC22D2,TTN,ADRB2,TTN,GS1-120K12.1,TTN,SQSTM1,TTN,TLE3,TTN,RP5-1139B12.1,TTN,RP11-436C9.1,TTN,SP1,TTN,CUL3,TTN"
